order_item_id,order_id,product_id,quantity,unit_price
1,1,44,2,454.28
2,2,507,2,857.24
3,2,542,3,560.45
4,2,675,2,106.18
5,2,620,3,359.07
6,2,237,3,276.15
7,3,841,4,584.08
8,3,780,1,711.35
9,4,912,3,213.88
10,4,710,1,780.27
11,5,776,1,129.97
12,6,868,4,309.26
13,6,629,2,772.28
14,6,556,1,464.07
15,7,176,3,589.43
16,8,517,3,673.63
17,8,50,2,371.88
18,8,259,2,106.19
19,8,801,1,708.52
20,8,277,2,331.45
21,9,729,3,739.05
22,10,663,3,275.89
23,10,309,2,17.60
24,10,747,3,381.78
25,10,369,2,595.24
26,10,669,1,332.18
27,11,825,4,27.47
28,11,430,1,207.69
29,11,461,1,579.39
30,11,579,2,42.69
31,11,773,1,375.38
32,12,289,3,483.24
33,13,905,2,874.73
34,13,189,4,720.73
35,13,448,1,603.88
36,13,106,3,276.67
37,13,549,4,709.30
38,14,963,1,704.56
39,15,812,3,846.37
40,15,414,4,203.53
41,16,468,2,458.19
42,16,7,2,327.30
43,16,231,2,487.19
44,16,277,4,367.17
45,17,214,4,273.41
46,17,867,4,444.83
47,17,424,2,669.55
48,18,685,1,169.26
49,18,786,4,472.77
50,18,231,3,468.52
51,18,996,4,443.25
52,18,180,2,279.59
53,19,186,1,703.60
54,20,529,3,403.38
55,21,594,2,117.71
56,22,931,2,556.33
57,22,96,1,146.92
58,22,240,2,811.33
59,22,541,3,789.13
60,23,311,1,522.11
61,23,576,2,721.77
62,24,324,3,265.75
63,24,241,2,211.64
64,24,523,3,805.24
65,25,638,1,151.59
66,25,910,1,108.31
67,25,189,3,713.25
68,25,493,4,664.02
69,25,849,3,135.58
70,26,178,2,756.91
71,26,184,2,216.80
72,26,606,3,775.45
73,26,951,2,321.58
74,26,590,3,498.03
75,27,659,2,376.78
76,27,430,3,202.94
77,27,769,2,289.53
78,27,713,4,763.64
79,28,982,1,32.09
80,28,41,4,25.64
81,28,396,3,564.48
82,28,754,3,221.30
83,29,119,1,544.47
84,30,751,4,332.11
85,30,387,1,277.10
86,31,251,2,501.91
87,31,432,1,31.23
88,31,769,2,304.90
89,31,764,1,597.95
90,31,25,4,59.76
91,32,267,1,311.75
92,32,974,2,647.48
93,32,541,1,803.89
94,32,595,4,476.20
95,33,399,2,558.05
96,33,523,4,857.25
97,33,475,3,624.74
98,33,418,1,187.65
99,33,68,1,317.37
100,34,987,4,829.58
101,34,754,3,199.62
102,35,995,4,557.77
103,35,963,3,659.39
104,35,218,1,266.31
105,35,272,3,704.28
106,35,829,3,599.45
107,36,761,2,186.17
108,36,192,4,565.23
109,37,809,2,136.61
110,37,118,4,310.25
111,37,946,4,279.39
112,37,708,1,43.08
113,37,55,2,817.22
114,38,276,2,72.28
115,38,718,4,571.58
116,38,271,2,39.39
117,39,515,1,421.33
118,39,889,1,438.00
119,39,535,1,810.53
120,39,51,2,824.61
121,40,336,1,463.13
122,41,601,3,398.43
123,42,445,1,185.56
124,42,799,1,762.49
125,42,518,1,772.92
126,43,258,3,326.06
127,43,26,4,495.50
128,43,171,3,489.97
129,43,225,3,581.21
130,43,937,4,349.59
131,44,918,1,771.30
132,44,652,1,781.93
133,44,685,1,181.28
134,44,916,1,446.18
135,45,989,4,559.44
136,45,111,4,52.48
137,45,235,1,225.42
138,45,804,1,375.94
139,46,651,2,445.60
140,46,193,1,485.63
141,46,960,3,389.28
142,46,244,1,154.44
143,46,403,1,507.67
144,47,876,1,276.69
145,47,768,2,770.93
146,47,253,3,742.12
147,48,426,2,670.60
148,48,683,3,626.24
149,48,286,3,121.79
150,49,682,4,264.80
151,49,660,4,748.89
152,49,372,2,628.46
153,50,109,3,380.69
154,50,692,4,59.63
155,50,751,1,325.14
156,51,526,3,794.79
157,51,598,3,714.84
158,51,742,4,186.66
159,52,255,4,632.98
160,53,743,3,139.94
161,53,594,1,119.27
162,53,887,1,78.11
163,53,398,2,219.90
164,53,290,3,179.80
165,54,734,4,489.38
166,54,590,2,495.57
167,54,103,4,327.43
168,54,306,1,788.22
169,55,431,2,133.84
170,55,540,4,664.26
171,55,330,1,634.51
172,55,122,1,79.03
173,56,198,1,894.46
174,56,637,1,54.52
175,56,677,1,507.69
176,56,392,3,508.66
177,57,594,2,110.79
178,57,307,3,332.25
179,57,10,3,169.44
180,57,352,3,755.60
181,57,908,2,866.88
182,58,453,1,327.87
183,59,601,4,428.47
184,60,393,4,736.13
185,60,789,3,804.40
186,60,938,1,40.43
187,61,676,2,178.54
188,61,532,4,540.19
189,61,246,2,654.95
190,62,828,2,495.76
191,62,800,1,458.65
192,62,227,1,404.67
193,62,721,4,598.54
194,63,13,4,462.76
195,63,985,3,43.21
196,64,41,1,25.83
197,64,556,3,470.16
198,65,110,4,645.33
199,65,9,4,637.48
200,65,321,2,371.99
201,65,867,2,399.44
202,66,795,1,568.70
203,67,312,1,812.59
204,67,235,1,223.94
205,67,319,4,863.00
206,67,96,1,140.42
207,67,784,3,675.24
208,68,228,1,514.23
209,68,559,1,228.75
210,68,923,3,513.10
211,69,769,2,298.22
212,69,290,2,176.62
213,69,683,2,639.31
214,70,19,1,396.50
215,70,48,1,540.45
216,70,878,1,775.63
217,70,899,1,343.19
218,70,162,2,17.15
219,71,503,3,834.60
220,71,971,4,665.13
221,71,338,2,488.19
222,71,125,2,758.64
223,72,733,3,672.13
224,73,921,1,90.83
225,73,548,3,419.58
226,73,731,4,678.40
227,73,689,2,332.86
228,73,590,3,514.03
229,74,931,2,598.22
230,74,866,4,479.60
231,74,319,1,874.93
232,74,811,3,593.27
233,75,267,3,324.30
234,75,61,1,622.43
235,75,991,1,363.74
236,75,623,3,877.93
237,75,44,3,410.78
238,76,210,4,683.90
239,76,748,3,562.04
240,76,466,3,478.50
241,76,656,2,791.51
242,76,56,4,126.44
243,77,809,3,156.40
244,77,602,1,751.96
245,77,708,4,43.75
246,77,969,2,270.13
247,77,373,2,631.26
248,78,283,4,572.08
249,79,907,4,747.91
250,79,720,2,76.03
251,79,272,2,719.92
252,79,955,4,31.00
253,80,617,2,461.78
254,80,302,4,373.60
255,80,109,1,340.90
256,81,593,2,236.08
257,81,117,1,471.19
258,81,965,3,425.69
259,82,332,2,252.05
260,82,746,4,193.18
261,82,757,2,55.45
262,82,887,1,76.52
263,83,904,1,502.19
264,83,885,1,819.29
265,83,443,4,651.78
266,83,713,4,765.64
267,83,995,4,638.27
268,84,649,1,436.93
269,84,17,4,625.10
