order_id,customer_id,order_date,status,total_amount,region
1,2957,2025-03-16 22:11:30,shipped,908.56,West
2,1066,2024-01-14 11:49:58,delivered,5513.85,South
3,1647,2025-01-24 08:32:22,delivered,3047.67,West
4,3655,2024-08-14 15:26:53,shipped,1421.91,Southwest
5,3354,2024-04-30 09:43:05,cancelled,129.97,South
6,531,2024-07-04 20:17:21,returned,3245.67,South
7,760,2024-07-09 21:06:12,delivered,1768.29,West
8,1785,2024-07-17 06:31:52,placed,4348.45,Northeast
9,3072,2024-03-30 19:33:48,delivered,2217.15,Southwest
10,3680,2024-06-13 23:06:55,delivered,3530.87,Southwest
11,2312,2024-05-08 12:34:50,delivered,1357.72,West
12,411,2024-12-28 02:11:14,delivered,1449.72,Southeast
13,4774,2024-02-22 02:00:51,shipped,8903.47,West
14,3684,2025-04-08 09:15:49,cancelled,704.56,Midwest
15,3650,2024-07-18 22:28:59,cancelled,3353.23,Southeast
16,2288,2024-05-29 21:56:36,returned,4014.04,Southwest
17,1263,2025-04-12 05:39:01,delivered,4212.06,West
18,3139,2025-04-03 13:23:06,shipped,5798.08,South
19,88,2024-06-04 02:25:01,delivered,703.60,West
20,2007,2025-03-24 07:52:55,placed,1210.14,Southwest
21,2253,2024-01-24 10:46:31,shipped,235.42,West
22,468,2024-02-19 13:42:38,delivered,5249.63,Midwest
23,2237,2024-01-29 04:29:51,delivered,1965.65,West
24,2142,2024-01-18 19:02:53,cancelled,3636.25,South
25,1512,2024-02-06 10:27:29,cancelled,5462.47,West
26,4518,2024-10-03 11:43:18,cancelled,6411.02,West
27,1930,2025-02-28 22:00:07,delivered,4996.00,South
28,4953,2024-08-01 03:27:12,returned,2491.99,Northeast
29,393,2025-02-18 10:08:32,returned,544.47,Northeast
30,1752,2025-01-31 02:38:29,delivered,1605.54,West
31,3306,2024-06-02 22:30:46,delivered,2481.84,South
32,4758,2024-09-24 09:00:18,delivered,4315.40,West
33,1569,2024-07-19 00:18:15,delivered,6924.34,Southwest
